书名,价格,作者,出版社,好评率,简介
完美咨询：咨询顾问的圣经（原书第3版）,57.20,布洛克、黄晓亮,机械工业出版社, 90%,自《完美咨询》在30年前首次出版以来，很快就被誉为“咨询圣经”。彼得.布洛克以他传奇般的热情完成了这本著作，讲述有效管理客户、同僚和他人的方法。本书的新版继续为组织内部和外部咨询顾问提供完美支持。 新书第3版全面修订并更新，书中探讨了有关咨询方面的**见解。对于如何发掘优势、提出积极案例、了解客户天赋和进行社区咨询，作者提出了丰富的见解。书中内容翔实具体、实用性强。任何希望提高能力、强化关系并且突破惯有思维的本书读者都将受益匪浅。
中国哲学史（上、下册）（第二版）―马克思主义理论研究和建设工程重点教材,81.50,中国哲学史,人民出版社, 100%,
"校长领导力研究（基础教育）著名教育学家裴娣娜：""该书的出版凝聚了吴晗清教授十年来辛勤耕耘的结晶，让我们看到了一位年轻学者的精神风采。该书既有一定理论深度的思考和分析，又有鲜活生动的案例，为深入进行校长领导力研究提供了一个反思的",85.40,吴晗清,清华大学出版社, 100%,立足现实、议题集中，从教育学、心理学、文化学等多学科视角，不仅从操作层面对校长领导力建设的方法与途径提供了大量丰富的实践案例，而且重在 对校长领导力建设的基本问题进行反思和建构。
薪酬管理（第13版）（人力资源管理译丛）,95.00,巴里・格哈特、杰里・纽曼,中国人民大学出版社, 90%,
高等数学同步辅导（下册）配套同济八版教材,27.70,张天德,山东科学技术出版社, 0%,
中国服装史国家级精品课程、一流课程、清华大学精品课程教材纺织服装高等教育十四五部委级规划教材,95.10,贾玺增,东华大学出版社, 100%,
马克思主义政治经济学概论(第2版)同步练习,39.20,李朝林,安徽大学出版社, 100%,《马克思主义政治经济学概论（第2版）》理论性较强，学生学起来有一定难度，本书立足学生学习现状，符合学生的认知规律，提纲挈领、深入浅出地帮助学生理解、消化、巩固教材知识，有助于学生更全面、深刻地掌握所学内容，切实提高理论水平和实际应用能力。
宪法练习题集（第四版）（21世纪法学系列教材配套辅导用书）,49.00,胡锦光,中国人民大学出版社, 0%,
机械设计学习指导(第2版)促进知识、能力、素质的有机结合，尽快缩短从大学生到卓越工程师之间的距离,56.30,傅燕鸣,上海科学技术出版社, 100%,（1）主编傅燕鸣所在的上海大学机械工程专业是*批 卓越工程师教育培养计划 试点单位，《机械设计学习指导》是该专业老师为 卓越工程师培养计划 设计的配套课程，适合*向各大院校该专业推广。 （2）《机械设计学习指导既方便在校本科生同步学习时参考，又合适于准备参加硕士研究生考试的学生作为专业课辅导教材，适用面广。 （3）《机械设计学习指导》用精辟的语言对常考的知识点加重了讲解力度。 （4）自测题题型全，内容精，大多选自本科生课程考试试卷和研究生入学考试题，有助于学生更好地掌握考试要点。 （5）参考答案解题过程清晰，步骤完整，数据准确，附图齐全，以便学生检查备考复习效果。
工程机械手册――工业车辆国家出版基金《工程机械手册》其中一卷，涉及工业车辆领域的工程机械设备选型和应用。,163.00,杨安国、薛白、毕胜,清华大学出版社, 0%,本书为国家出版基金《工程机械手册》的其中一卷，主要介绍工业车辆相关的机械，本手册可供工业车辆机械相关的设备使用和租赁企业的工程技术人员、现场操作人员、现场服务和维修人员以及管理和营销人员参考，为相关人员提供一本继续学习的自学材料。
